,title,room,area,floor,renovation,material,price,address,lift,security,internet,playground,sewerage,bathroom,video_monitor,parking_space,air_condition,furniture
130,3-rooms apartment for sale,,,,,,85 000 usd,"Tashkent city, district Chilanzar, махаллинский сход граждан Катта Домбрабад, улица Наккашлык",0,0,0,0,0,0,0,0,0,0
131,4-rooms apartment for sale,,,,,,145 000 usd,"Tashkent city, district Mirabad, махаллинский сход граждан Мовароуннахр, улица Саида Барака",0,0,1,0,0,1,1,1,1,1
132,1-rooms apartment for sale,,,,,,62 000 usd,"Tashkent city, district Yashnabad, махаллинский сход граждан Ахмад Яссавий, улица Хаваст",0,0,0,0,0,0,0,0,0,0
133,4-rooms apartment for sale,,,,,,82 000 usd,"Tashkent city, district Yunusabad, махаллинский сход граждан Севинч",0,0,1,1,1,1,0,1,1,1
134,2-rooms apartment for sale,,,,,,62 700 usd,"Tashkent city, district Chilanzar, махаллинский сход граждан Кичик Хирмантепа",0,0,0,0,0,0,0,0,0,0
135,3-rooms apartment for sale,,,,,,340 000 usd,"Tashkent city, district Shaykhantahur, жилой комплекс Nest One, улица Батыра Закирова",0,0,0,0,0,0,0,0,0,0
136,3-rooms apartment for sale,,,,,,140 000 usd,"Tashkent city, district Mirabad, махаллинский сход граждан Айбек, улица Фидокор",0,0,0,0,0,0,0,0,0,0
137,1-rooms apartment for sale,,,,,,42 000 usd,"Tashkent city, district Yashnabad, махаллинский сход граждан Олмос, 1-й тупик Бахт Кули",1,1,0,1,1,0,1,0,0,0
138,3-rooms apartment for sale,,,,,,77 000 usd,"Tashkent city, district Yashnabad, махаллинский сход граждан Амир Темур, 2-y proezd Birlashgan",0,0,0,0,0,0,0,0,0,0
139,3-rooms apartment for sale,,,,,,78 000 usd,"Tashkent city, district Mirabad, махаллинский сход граждан Банокатий, улица Абу Сулеймана Банокати",0,0,0,0,0,0,0,0,0,0
140,1-rooms apartment for sale,,,,,,78 000 usd,"Tashkent city, district Mirabad, махаллинский сход граждан Мирабад, улица Нукус",0,0,0,0,0,0,0,0,0,0
141,1-rooms apartment for sale,,,,,,56 000 usd,"Tashkent city, district Yashnabad, массив Ташсельмаш",0,0,1,0,0,0,0,0,0,1
142,1-rooms apartment for sale,,,,,,53 500 usd,"Tashkent city, district Yashnabad, жилой комплекс Беш чинор, улица Махтумкули",1,0,0,1,0,0,0,0,1,1
143,4-rooms apartment for sale,,,,,,80 000 usd,"Tashkent city, district Sirgali, махаллинский сход граждан Эзгулик",1,0,1,1,1,1,0,1,1,1
144,2-rooms apartment for sale,,,,,,70 000 usd,"Tashkent city, district Mirza Ulugbek, махаллинский сход граждан Тракторсозлар, улица Ульяна",0,0,0,0,0,0,0,0,0,0
145,2-rooms apartment for sale,,,,,,68 000 usd,"Tashkent city, district Chilanzar, махаллинский сход граждан Кичик Хирмантепа",0,0,0,0,0,0,0,0,0,0
146,3-rooms apartment for sale,,,,,,90 000 usd,"Tashkent city, district Mirza Ulugbek, махаллинский сход граждан Султония",0,0,1,1,1,1,0,1,0,1
147,2-rooms apartment for sale,,,,,,55 500 usd,"Tashkent city, district Uchtepa, 21-й квартал",0,0,0,0,0,0,0,0,0,0
148,3-rooms apartment for sale,,,,,,76 900 usd,"Tashkent city, Алмазарский район, махаллинский сход граждан Бустанабад",0,0,1,0,1,1,0,1,1,1
149,2-rooms apartment for sale,,,,,,46 000 usd,"Tashkent city, district Yashnabad, махаллинский сход граждан Ахмад Яссавий, улица Алимкент",0,0,0,0,0,0,0,0,0,0
150,4-rooms apartment for sale,,,,,,145 000 usd,"Tashkent city, district Mirabad, махаллинский сход граждан Мовароуннахр, улица Саида Барака",0,0,1,0,0,1,1,1,1,1
151,3-rooms apartment for sale,,,,,,62 000 usd,"Tashkent city, district Uchtepa, махаллинский сход граждан Кухна-Чапаната",0,0,0,0,0,0,0,0,0,0
152,1-rooms apartment for sale,,,,,,47 000 usd,"Tashkent city, district Chilanzar, 1-й квартал, улица Лабихавуз",0,0,1,1,1,0,1,1,1,1
153,4-rooms apartment for sale,,,,,,110 000 usd,"Tashkent city, district Chilanzar, квартал Е, улица Мукими",0,0,1,0,1,0,1,1,1,1
154,1-rooms apartment for sale,,,,,,52 000 usd,"Tashkent city, district Chilanzar, 2-й квартал",0,0,1,0,1,0,0,0,1,1
155,3-rooms apartment for sale,,,,,,71 999 usd,"Tashkent city, district Uchtepa, махаллинский сход граждан Ватан",1,0,1,1,1,1,0,1,1,1
156,4-rooms apartment for sale,,,,,,80 000 usd,"Tashkent city, district Sirgali, махаллинский сход граждан Эзгулик",1,0,1,1,1,1,0,1,1,1
157,2-rooms apartment for sale,,,,,,56 500 usd,"Tashkent city, district Yunusabad, 17-й квартал",0,0,0,0,0,0,0,0,0,0
158,2-rooms apartment for sale,,,,,,55 500 usd,"Tashkent city, district Yunusabad, махаллинский сход граждан Ахилобод, улица Ниязбек",0,0,1,1,1,1,0,0,0,0
159,2-rooms apartment for sale,,,,,,62 000 usd,"Tashkent city, district Yunusabad, махаллинский сход граждан Бегубор",0,0,0,0,0,0,0,0,0,0
160,2-rooms apartment for sale,,,,,,63 200 usd,"Tashkent city, district Yunusabad, махаллинский сход граждан Ахилобод, улица Ниязбек",0,0,0,0,0,0,0,0,0,0
161,1-rooms apartment for sale,,,,,,82 500 usd,"Tashkent city, district Yunusabad, массив Минор, proezd Minor",0,0,0,0,0,0,0,0,0,0
162,2-rooms apartment for sale,,,,,,80 000 usd,"Tashkent city, district Mirabad, махаллинский сход граждан Айбек, улица Саида Барака",1,0,1,1,1,1,0,1,1,1
163,1-rooms apartment for sale,,,,,,45 000 usd,"Tashkent city, district Mirza Ulugbek, махаллинский сход граждан Подшобог, улица Буюк Ипак Йули",0,0,0,0,0,0,0,0,0,0
